
gev-mu=70,alpha=10,gamma=-0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=1.0e+01
VWLS,mu=70.06331575,alpha=11.78880614,gamma=0.42266822,n=10
MLE,mu=70.70485078,alpha=10.18162030,gamma=0.27176458,n=10
PWM,mu=84.99902106,alpha=10.37785882,gamma=-2.03173301,n=10
L-moments,mu=70.44347988,alpha=11.44640342,gamma=0.18486230,n=10

gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=1.5e+01
VWLS,mu=69.26989797,alpha=14.30324515,gamma=0.34392754,n=15
MLE,mu=68.60575263,alpha=10.35535932,gamma=0.48610771,n=15
PWM,mu=78.06673565,alpha=20.41213970,gamma=-0.71135992,n=15
L-moments,mu=69.30287716,alpha=12.47324991,gamma=0.25351301,n=15

gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=2.0e+01
VWLS,mu=67.85665914,alpha=10.39257686,gamma=0.45094334,n=20
MLE,mu=68.10284301,alpha=8.65171358,gamma=0.41695362,n=20
PWM,mu=73.34402556,alpha=16.54032130,gamma=-0.41535970,n=20
L-moments,mu=68.01898765,alpha=9.14666045,gamma=0.33964903,n=20

gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=3.0e+01
VWLS,mu=67.51110503,alpha=7.97959137,gamma=0.45989221,n=30
MLE,mu=67.94605307,alpha=7.82438698,gamma=0.33004468,n=30
PWM,mu=70.89696213,alpha=13.00906859,gamma=-0.24362704,n=30
L-moments,mu=67.79267700,alpha=7.91689920,gamma=0.31044930,n=30

gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=5.0e+01
VWLS,mu=68.09797394,alpha=9.88168786,gamma=0.29643589,n=50
MLE,mu=67.91844086,alpha=7.98909499,gamma=0.38705052,n=50
PWM,mu=69.72820901,alpha=11.75663920,gamma=0.00655174,n=50
L-moments,mu=68.10326041,alpha=8.49022906,gamma=0.30313042,n=50

gev-mu=70,alpha=10,gamma=0.3,N=e6.csv;rej_b=0.001;n=1.0e+02
VWLS,mu=68.99176903,alpha=10.45220668,gamma=0.25612984,n=100
MLE,mu=68.72199551,alpha=9.15164423,gamma=0.33265568,n=100
PWM,mu=69.81093602,alpha=11.42091582,gamma=0.11139345,n=100
